"","mechanism","parameter","connected.count","relative.disconnected.time","waiting.time"
"785","Size",12,41,0.012447742847222,99.328072469339
"786","Size",12,73,0.014778671202825,77.89747965688
"787","Size",12,37,0.0087061184137206,145.5478595226
"788","Size",12,29,0.0071756973885939,108.42973166993
"789","Size",12,11,0.0066084916255093,277.29635633665
"790","Size",12,45,0.01574919514633,104.8070673059
"791","Size",12,83,0.022911899001395,97.11282351922
"792","Size",12,25,0.0099409249006122,142.1941797253
"793","Size",12,45,0.010253408169799,148.58169562778
"794","Size",12,6,0.0040430743914967,365.48128952134
"795","Size",12,52,0.013321788888805,111.44189926798
"796","Size",12,59,0.015631624373467,92.432419017425
"797","Size",12,35,0.018620798409463,145.02013895233
"798","Size",12,30,0.0071807871570087,185.98887149198
"799","Size",12,25,0.0073218327942444,173.30965156433
"800","Size",12,51,0.01024067390712,94.363481267168
"801","Intervall",8,7,0.0043822594611184,173.37642912122
"802","Intervall",8,9,0.0022279169382411,157.91641013964
"803","Intervall",8,32,0.0074445999030399,93.901800911791
"804","Intervall",8,41,0.0076322347838922,84.465742233746
"805","Intervall",8,19,0.0038937437471053,93.799172748451
"806","Intervall",8,24,0.0046308508833274,107.23447096047
"807","Intervall",8,20,0.0069558891255348,92.677546919484
"808","Intervall",8,19,0.0052213409752012,132.33618242027
"809","Intervall",8,46,0.0062505733363465,48.348132538063
"810","Intervall",8,27,0.004246220151858,142.09706500135
"811","Intervall",8,29,0.0077567353676016,107.30282941493
"812","Intervall",8,26,0.0035504162983538,97.463014125002
"813","Intervall",8,14,0.00364152231896,225.10235063998
"814","Intervall",8,21,0.0043088542131143,107.86498691372
"815","Intervall",8,21,0.0030716700191358,90.014772732238
"816","Intervall",8,5,0.0047893589810803,232.43503289802
"817","Intervall",8,12,0.0031230698287359,95.33157355691
"818","Intervall",8,40,0.0065291768102641,68.502847129229
"819","Intervall",8,39,0.0076210024670369,88.201843522565
"820","Intervall",8,20,0.0031522547027208,150.47801359376
"821","Intervall",8,16,0.0027114871748256,109.15420098373
"822","Intervall",8,14,0.0031678217983718,155.49828310501
"823","Intervall",8,14,0.0031551055802517,255.40862265246
"824","Intervall",8,43,0.012648032380212,57.293254941712
"825","Intervall",8,21,0.0072174419338832,109.72837017656
"826","Intervall",8,19,0.0037743575438309,342.75142791551
"827","Intervall",8,54,0.0056823486926979,89.098093541794
"828","Intervall",8,54,0.0087305838739079,93.571568293651
"829","Intervall",8,26,0.0044485165787212,251.46785664416
"830","Intervall",8,18,0.0037430337181313,186.68512291659
"831","Intervall",8,23,0.0054938015069223,105.2457845501
"832","Intervall",8,8,0.0029646686157662,195.95783798226
"833","Intervall",8,33,0.0082361064482762,86.402134746753
"834","Intervall",8,38,0.0053197744969114,77.769427332534
